ObjectID_1,PID,Civic.Number,Street,Full.Civ.Add,Closest.Uni,Dist.Uni,Destination,Dist.CBD
8050,111021,3476,MCALPINE AVE,3476 MCALPINE AVE,Studley Campus,3792.515968,City Hall,4579.635031
8051,111021,3476,MICMAC ST,3476 MICMAC ST,Studley Campus,3499.259551,City Hall,4352.860524
8052,111021,3478,MCALPINE AVE,3478 MCALPINE AVE,Studley Campus,3792.515968,City Hall,4579.635031
8053,111021,3480,MCALPINE AVE,3480 MCALPINE AVE,Studley Campus,3792.515968,City Hall,4579.635031
8054,111021,3480,MICMAC ST,3480 MICMAC ST,Studley Campus,3508.731652,City Hall,4362.332625
8055,111021,3482,MCALPINE AVE,3482 MCALPINE AVE,Studley Campus,3792.515968,City Hall,4579.635031
8056,111021,3482,MICMAC ST,3482 MICMAC ST,Studley Campus,3513.465765,City Hall,4367.066738
8057,111021,3484,MCALPINE AVE,3484 MCALPINE AVE,Studley Campus,3792.515968,City Hall,4579.635031
8058,111021,3484,MICMAC ST,3484 MICMAC ST,Studley Campus,3521.898678,City Hall,4375.499651
8059,111021,3486,MCALPINE AVE,3486 MCALPINE AVE,Studley Campus,3787.701621,City Hall,4574.820684
8060,111021,3486,MICMAC ST,3486 MICMAC ST,Studley Campus,3528.363507,City Hall,4381.96448
8061,111021,3488,MCALPINE AVE,3488 MCALPINE AVE,Studley Campus,3782.042629,City Hall,4569.161692
8062,111021,3488,MICMAC ST,3488 MICMAC ST,Studley Campus,3533.972047,City Hall,4387.57302
8063,111021,3489,MCALPINE AVE,3489 MCALPINE AVE,Studley Campus,3781.162208,City Hall,4568.281272
8064,111021,3490,MCALPINE AVE,3490 MCALPINE AVE,Studley Campus,3775.577152,City Hall,4562.696216
8065,111021,3490,MICMAC ST,3490 MICMAC ST,Studley Campus,3540.417623,City Hall,4394.018596
8066,111021,3491,MCALPINE AVE,3491 MCALPINE AVE,Studley Campus,3774.339539,City Hall,4561.458603
8067,111021,3492,MCALPINE AVE,3492 MCALPINE AVE,Studley Campus,3761.137155,City Hall,4548.256218
8068,111021,3492,MICMAC ST,3492 MICMAC ST,Studley Campus,3546.335829,City Hall,4399.936802
8069,111021,3493,MCALPINE AVE,3493 MCALPINE AVE,Studley Campus,3767.949747,City Hall,4555.06881
8070,111021,3494,MCALPINE AVE,3494 MCALPINE AVE,Studley Campus,3750.949317,City Hall,4538.068381
